COMUNI,NR CASI,LATITUDINE,LONGITUDINE
ABANO TERME,5,45.36031420000001,11.789783300000002
AGNA,3,45.1702381,11.960301699999999
ALBIGNASEGO,22,45.347491999999995,11.867208999999999
ANGUILLARA VENETA,3,45.13935479999999,11.887745599999999
ARQUA' PETRARCA,6,45.2700441,11.7165149
ARRE,4,45.216667,11.916667
ARZERGRANDE,4,45.2728605,12.053944
BAGNOLI DI SOPRA,1,45.1848407,11.8834864
BAONE,1,45.24386320000001,11.687945800000001
BARBONA,1 ,45.1116811,11.682407000000001
BATTAGLIA TERME,9,45.2880903,11.7817426
BOARA PISANI,1,45.108084999999996,11.782711
BORGORICCO,14,45.5335614,11.9658789
BOVOLENTA,2,45.27037470000001,11.935085699999998
BRUGINE,,45.296592,11.995113
CADONEGHE,14,45.45864810000001,11.9201748
CAMPODARSEGO,13,45.502855,11.907495800000001
CAMPODORO,1,45.490294,11.752004
CAMPOSAMPIERO,12,45.57176,11.931929400000001
CAMPO SAN MARTINO,4,45.544396,11.810404
CANDIANA,3,45.221090000000004,11.989114
CARCERI,1,45.1950006,11.6208414
CARMIGNANO DI BRENTA,5,45.628770700000004,11.6998606
CARTURA,4,45.268390000000004,11.856810000000001
CASALE DI SCODOSIA,9,45.1874943,11.4686356
CASALSERUGO,,45.3162255,11.913545300000001
CASTELBALDO,3,45.1211715,11.453502199999999
CERVARESE SANTA CROCE,9,45.424392,11.687904
CINTO EUGANEO,3,45.2894673,11.672375500000001
CITTADELLA,28,45.648794099999996,11.7835801
CODEVIGO,9,45.2673516,12.101301199999998
CONSELVE,2,45.2337438,11.874013099999999
CORREZZOLA,8,45.2353821,12.0677625
CURTAROLO,21,45.5222551,11.832017
ESTE,13,45.2240069,11.659796
FONTANIVA,6,45.63762929999999,11.752197599999999
GALLIERA VENETA,11,45.662839500000004,11.8284875
GALZIGNANO TERME,25,45.3068076,11.7339679
GAZZO,,45.5810003,11.7065481
GRANTORTO,14,45.600896999999996,11.731602
GRANZE,1,45.154289,11.7134853
LEGNARO,9,45.3456489,11.964192500000001
LIMENA,13,45.474376299999996,11.8449327
LOREGGIA,5,45.594524,11.9446117
LOZZO ATESTINO,7,45.290917799999995,11.6304106
MASERA' DI PADOVA,2,45.32071129999999,11.8709849
MASI,,45.1088205,11.4918239
MASSANZAGO,13,45.5555115,12.0074344
MEGLIADINO SAN VITALE,8,45.19214,11.5242368
MERLARA,74,45.1670683,11.4418785
MESTRINO,9,45.4427579,11.7582537
MONSELICE,32,45.2417684,11.7508534
MONTAGNANA,13,45.23332070000001,11.4657779
MONTEGROTTO TERME,6,45.331491,11.791208000000001
NOVENTA PADOVANA,15,45.4143019,11.9510037
OSPEDALETTO EUGANEO,6,45.2226948,11.610901400000001
PADOVA,212,45.4077172,11.8734455
PERNUMIA,,45.258989,11.787208999999999
PIACENZA D'ADIGE,1,45.127462,11.547701199999999
PIAZZOLA SUL BRENTA,9,45.541496,11.784403999999999
PIOMBINO DESE,2,45.6075204,11.9994148
PIOVE DI SACCO,15,45.297692,12.036814
POLVERARA,,45.309391999999995,11.956012
PONSO,,45.1950567,11.588255
PONTELONGO,2,45.2454887,12.025182899999999
PONTE SAN NICOLÒ,,45.365238899999994,11.9372704
POZZONOVO,3,45.1965968,11.792650300000002
ROVOLON,11,45.37802670000001,11.6444028
RUBANO,6,45.428728799999995,11.788273599999998
SACCOLONGO,4,45.4031054,11.747553199999999
SAN GIORGIO DELLE PERTICHE,6,45.54167020000001,11.9112369
SAN GIORGIO IN BOSCO,9,45.591851399999996,11.8059588
SAN MARTINO DI LUPARI,9,45.6486593,11.856980400000001
SAN PIETRO IN GU,,45.6140864,11.669393699999999
SAN PIETRO VIMINARIO,1,45.24329470000001,11.817326800000002
SANTA GIUSTINA IN COLLE,5,45.563697999999995,11.906406
SANT'ANGELO DI PIOVE DI SACCO,4,45.345315299999996,12.0070217
SANT'ELENA,,45.18333300000001,11.716667
SANT'URBANO,1,45.1330499,11.6359565
SAONARA,4 ,45.370221,11.984066499999999
SELVAZZANO DENTRO,22,45.3897901,11.785891900000001
SOLESINO,2,45.1773324,11.7433722
STANGHELLA,2,45.1346243,11.7560481
TEOLO,4,45.36542100000001,11.6886055
TERRASSA PADOVANA,3,45.2452683,11.9033814
TOMBOLO,3,45.6470275,11.8304219
TORREGLIA,4,45.336090999999996,11.738406
TREBASELEGHE,4,45.5918117,12.0509986
TRIBANO,2,45.210010499999996,11.832142300000001
URBANA,,40.1117174,-88.207301
VEGGIANO,,45.4483223,11.7108215
VESCOVANA,1,45.1345136,11.7084352
VIGHIZZOLO D'ESTE,,45.1770026,11.6255678
VIGODARZERE,17,45.458193200000004,11.8828635
VIGONZA,15,45.4433152,11.98338
VILLA DEL CONTE,20,45.586597999999995,11.859005
VILLA ESTENSE,,45.172108200000004,11.6669789
VILLAFRANCA PADOVANA,10,45.49485120000001,11.7975235
VILLANOVA DI CAMPOSAMPIERO,4,45.490455600000004,11.973020300000002
VO',83,45.333333,11.633333
DUE CARRARE,6,45.2905049,11.821752900000002
BORGO VENETO,6,45.229109,11.538562800000001
ALTIVOLE,,45.754002899999996,11.9553621
ARCADE,1 ,45.7844916,12.2194084
ASOLO,3 ,45.8007265,11.914244400000001
BORSO DEL GRAPPA,5 ,45.821024799999996,11.799316099999999
BREDA DI PIAVE,15,45.7245474,12.331021400000001
CAERANO DI SAN MARCO,1 ,45.785910200000004,12.0010378
CAPPELLA MAGGIORE,1,45.9695401,12.361669099999999
CARBONERA,10,45.6848378,12.2859442
CASALE SUL SILE,31,45.5978329,12.3252918
CASIER,15,45.628335799999995,12.265159800000001
CASTELCUCCO,,45.8333237,11.8839691
CASTELFRANCO VENETO,16,45.6728109,11.9252448
CASTELLO DI GODEGO,2,45.6923801,11.8810438
CAVASO DEL TOMBA,,45.85839960000001,11.908980499999998
CESSALTO,3,45.712596399999995,12.6123141
CHIARANO,2,45.7300409,12.5812788
CIMADOLMO,2,45.7878398,12.360952000000001
CISON DI VALMARINO,1,45.9699873,12.1431366
CODOGNE',2,45.8668619,12.435573399999999
COLLE UMBERTO,1,45.9403906,12.3417873
CONEGLIANO,32 ,45.886217200000004,12.2977566
CORDIGNANO,19 ,45.951812,12.413711
CORNUDA,,45.831730799999995,12.0076655
CROCETTA DEL MONTELLO,2 ,45.8339959,12.032326800000002
FARRA DI SOLIGO,1 ,45.9053812,12.125430099999999
FOLLINA,,45.95160900000001,12.119603999999999
FONTANELLE,6 ,45.8313331,12.467545800000002
FONTE,2 ,43.2049424,12.0848978
FREGONA,2 ,46.00021810000001,12.3389622
GAIARINE,1 ,45.8805037,12.4815909
GIAVERA DEL MONTELLO,2,45.7939742,12.1695666
GODEGA DI SANT'URBANO,7,45.929848299999996,12.3981101
GORGO AL MONTICANO,1,45.786953499999996,12.5504205
ISTRANA,5,45.6786162,12.0997937
LORIA,6,45.7284237,11.8655848
MANSUE',3,45.8206857,12.5311034
MARENO DI PIAVE,2,45.842048299999995,12.350944300000002
MASER,,45.807541,11.972487199999998
MASERADA SUL PIAVE,6,45.749410600000004,12.319332699999999
MEDUNA DI LIVENZA,2,45.8064433,12.6126854
MIANE,,45.9443206,12.093855900000001
MOGLIANO VENETO,35 ,45.5618351,12.2361094
MONASTIER DI TREVISO,1 ,45.6506956,12.4319289
MONFUMO,,45.8303733,11.921118199999999
MONTEBELLUNA,21 ,45.7759956,12.0450646
MORGANO,2,45.6433975,12.112627900000001
MORIAGO DELLA BATTAGLIA,,45.8669999,12.103281800000001
MOTTA DI LIVENZA,5,45.77663,12.610548199999998
NERVESA DELLA BATTAGLIA,2,45.8253685,12.2092015
ODERZO,20,45.783370899999994,12.4937783
ORMELLE,2 ,45.779258899999995,12.4204515
ORSAGO,4,45.9308608,12.423587300000001
PAESE,20 ,45.6727307,12.1536106
PEDEROBBA,4 ,45.8695205,11.9695508
PIEVE DI SOLIGO,1 ,45.899761299999994,12.173081100000001
PONTE DI PIAVE,5 ,45.7161533,12.4652271
PONZANO VENETO,17 ,45.723851,12.194218
PORTOBUFFOLE',,45.8529777,12.536369300000002
POSSAGNO,,45.854879,11.881569500000001
POVEGLIANO,3 ,45.7591925,12.2085003
PREGANZIOL,18 ,45.6019036,12.235791
QUINTO DI TREVISO,16 ,45.6420095,12.1498453143485
REFRONTOLO,1 ,45.9248858,12.207951199999998
RESANA,5 ,45.6340237,11.9552929
REVINE LAGO,,46.0010328,12.225549
RIESE PIO X,6 ,45.729222299999996,11.917005
RONCADE,16 ,45.6279075,12.3747797
SALGAREDA,3 ,45.704122999999996,12.4925871
SAN BIAGIO DI CALLALTA,15,45.6848725,12.3773466
SAN FIOR,24,45.92075300000001,12.3581506
SAN PIETRO DI FELETTO,8 ,45.9088888,12.2405948
SAN POLO DI PIAVE,7 ,45.7901075,12.3947754
SANTA LUCIA DI PIAVE,7  ,45.8491855,12.284264
SAN VENDEMIANO,11 ,45.890746299999996,12.3338437
SAN ZENONE DEGLI EZZELINI,3,45.7789443,11.840512599999998
SARMEDE,5 ,45.9788785,12.3860885
SEGUSINO,,45.916136,11.9539203
SERNAGLIA DELLA BATTAGLIA,2,45.87473120000001,12.133161900000001
SILEA,12 ,45.65335,12.296097900000001
SPRESIANO,1 ,45.78039129999999,12.2593456
SUSEGANA,8 ,45.8509126,12.2500126
TARZO,2 ,45.9726622,12.232645199999999
TREVIGNANO,5,45.733501000000004,12.0940161
TREVISO,112,45.80669135,12.206315763116374
VALDOBBIADENE,5,45.9014131,11.995512300000001
VAZZOLA,4,45.8377671,12.384063900000001
VEDELAGO,5,45.6866953,12.0180367
VIDOR,2,45.866667,12.033333
VILLORBA,20,45.72924860000001,12.2562455
VITTORIO VENETO,22,45.9897133,12.296477000000001
VOLPAGO DEL MONTELLO,10,45.7770452,12.1259456
ZENSON DI PIAVE,1 ,45.6789734,12.4920994
ZERO BRANCO,10,45.601701,12.165212
PIEVE DEL GRAPPA,,45.8510943,11.8322421
AGUGLIARO,4,45.325389,11.584203
ALBETTONE,,45.3573734,11.5810909
ALONTE,,45.36503670000001,11.4273627
ALTAVILLA VICENTINA,15,45.5084288,11.4706863
ALTISSIMO,,45.614739,11.251258199999999
ARCUGNANO,5,45.5004723,11.5356994
ARSIERO,,45.8035167,11.350404199999998
ARZIGNANO,5,45.519292,11.338594
ASIAGO,17,45.8753771,11.510699800000001
ASIGLIANO VENETO,,45.3045125,11.446266
BASSANO DEL GRAPPA,38 ,45.7669109,11.7343469
BOLZANO VICENTINO,2,45.6020126,11.6228517
BREGANZE,4,45.7081441,11.564766800000001
BRENDOLA,1,45.4721218,11.4469703
BRESSANVIDO,,45.646018100000006,11.633658500000001
BROGLIANO,6,45.5887862,11.3645426
CALDOGNO,3,45.6118362,11.5075805
CALTRANO,1,45.7706147,11.460800500000001
CALVENE,,45.7668464,11.5130166
CAMISANO VICENTINO,4,45.522021,11.7133442
CAMPIGLIA DEI BERICI,2,45.336242299999995,11.5394891
CARRE',5,45.748798,11.457792999999999
CARTIGLIANO,1,45.713054299999996,11.6940642
CASSOLA,8,45.732406899999994,11.7942558
CASTEGNERO,3,45.442492,11.584501
CASTELGOMBERTO,1,45.58522620000001,11.3941471
CHIAMPO,5,45.5445732,11.2808956
CHIUPPANO,1,45.76217329999999,11.4650759
COGOLLO DEL CENGIO,2,45.7852211,11.426095
CORNEDO VICENTINO,8,45.6111057,11.3434053
COSTABISSARA,2,45.585433200000004,11.4881595
CREAZZO,8,45.5320528,11.478580699999998
CRESPADORO,,45.620193,11.22589
DUEVILLE,1,45.633694399999996,11.550191
ENEGO,1,45.9404927,11.709612199999999
FARA VICENTINO,1,45.7395927,11.548287199999999
FOZA,3,45.8962656,11.6307256
GALLIO,9,45.8926258,11.5471016
GAMBELLARA,,45.462509499999996,11.3398403
GAMBUGLIANO,,45.58887429999999,11.440014999999999
GRISIGNANO DI ZOCCO,1,45.4753396,11.6989495
GRUMOLO DELLE ABBADESSE,1 ,45.5162637,11.658741699999998
ISOLA VICENTINA,,45.628668499999996,11.4431478
LAGHI,,45.824387,11.2723119
LASTEBASSE,,45.915101,11.273886
LONGARE,2,45.4746344,11.6110489
LONIGO,5,45.38811550000001,11.38799
LUGO DI VICENZA,1,45.7513912,11.522901300000001
MALO,11,45.660296,11.407492999999999
MARANO VICENTINO,4,45.6925488,11.4287561
MAROSTICA,10,45.7453924,11.6568938
MONTEBELLO VICENTINO,1,45.45905725,11.38564033686118
MONTECCHIO MAGGIORE,12,45.50507929999999,11.4084448
MONTECCHIO PRECALCINO,1,45.665781,11.563302
MONTE DI MALO,2,45.66046420000001,11.3625657
MONTEGALDA,1,45.446093,11.675003
MONTEGALDELLA,3,45.436355,11.670825500000001
MONTEVIALE,5,45.560524799999996,11.4580722
MONTICELLO CONTE OTTO,1,45.595180299999996,11.5805788
MONTORSO VICENTINO,1,45.4898343,11.362271
MUSSOLENTE,4,45.778952200000006,11.8012715
NANTO,,45.43333300000001,11.583333
NOGAROLE VICENTINO,,45.5593599,11.288430300000002
NOVE,3,45.7256753,11.6800583
NOVENTA VICENTINA,,45.2906283,11.5398835
ORGIANO,,45.3479399,11.463091499999999
PEDEMONTE,4,45.5032337,10.918719900000001
PIANEZZE,3,45.739997100000004,11.6267466
PIOVENE ROCCHETTE,6,45.7588257,11.430126800000002
POJANA MAGGIORE,,45.291381200000004,11.5013468
POSINA,1,45.7910878,11.2625174
POVE DEL GRAPPA,2,45.7991169,11.7291016
POZZOLEONE,1,45.6489562,11.6790903
QUINTO VICENTINO,5,45.5737979,11.6277193
RECOARO TERME,2,45.7051903,11.224886699999999
ROANA,22,45.875619,11.4626871
ROMANO D'EZZELINO,10,45.7962374,11.7583907
ROSA',6,45.716667,11.766667
ROSSANO VENETO,13,45.7052727,11.7997866
ROTZO,11,45.863466700000004,11.3993824
SALCEDO,,45.7587799,11.564978300000002
SANDRIGO,5,45.6606078,11.6029276
SAN PIETRO MUSSOLINO,1,45.5866086,11.256984
